TIC,Tmag,KIC,numax
123495446,10.1557,9873753,221.25
123498268,9.1577,8145590,49.49
390206915,10.8917,6181896,70.59
123497956,11.0675,8346238,31.91
48189866,9.866,11175619,28.31
390206827,10.7136,6262867,30.48
390207009,7.65009,6181933,65.34
123495531,11.5376,9813904,33.52
390207633,11.6621,5682548,31.21
123498528,10.1767,8008492,5.88
123494989,12.2741,10188953,122.71
48189728,12.1839,11122147,169.95
390207676,11.7307,5596344,33.83
123499354,11.8018,7420646,39.53
123495032,11.0733,10188964,38.21
123498261,10.9679,8145677,30.54
123496057,10.6054,9509251,6.97
123495603,11.7105,9813963,112.88
48189396,11.5616,10904520,102.72
390206780,11.2824,6341990,125.26
123496044,11.8791,9509260,213.77
123550299,11.3243,7258771,83.97
48189919,10.7765,11228759,36.95
123499025,11.2711,7662025,29.06
123550613,9.0193,7094142,37.93
123499095,10.7326,7585506,37.94
390207121,11.439,6100831,26.15
123497736,10.7561,8476554,58.68
123498703,7.9875,7871208,56.0
123499117,11.0711,7585523,36.27
123498298,11.6644,8145739,35.04
123550840,8.8397,6925082,30.75
390206910,9.6247,6263054,21.18
123498291,9.4279,8145759,11.65
123495655,12.0808,9753810,29.87
123498852,12.0967,7733106,169.26
48189976,11.6867,11282332,46.79
123499290,12.3185,7504110,39.42
164411731,10.7878,6925158,92.72
164411370,10.0477,7177015,83.5
48216371,11.8871,11122261,201.18
48217021,11.2026,10647243,40.53
164375565,11.8685,10581491,231.65
164409580,9.4964,8411792,43.36
164375405,11.6902,10647267,38.17
48216028,10.8947,11282383,76.47
377730867,12.1215,6263230,27.14
164410533,7.8134,7802146,28.46
48216240,12.2457,11175822,34.64
164410859,8.9577,7585696,38.91
164410165,11.9094,8077790,142.92
48216581,11.8159,10960400,46.52
164407195,9.2106,10056474,50.38
48216614,10.5008,10960424,40.6
377730173,11.6378,5768075,118.56
164408650,9.966,9001643,40.48
48216509,8.2429,11014468,51.24
48216191,10.9461,11175907,38.99
377730167,10.0891,5768166,40.09
377730840,10.5064,6263410,106.17
164411040,11.7023,7421138,35.19
377730141,12.0123,5683110,90.17
164410535,10.4687,7802323,219.36
377730300,11.3514,5854149,39.45
164407484,12.0813,9874261,90.08
164408778,11.518,8933174,31.91
164411302,10.4831,7259237,174.04
164455246,10.8702,10386904,182.2
164456048,11.2616,9754133,137.55
164414755,9.338,8346778,48.98
258202652,10.6106,6020718,11.64
258202973,9.5418,5854239,28.27
48217871,7.7695,11176016,31.23
164414536,9.6861,8213984,49.29
164414649,12.1638,8280407,96.75
164414610,7.48443,8280417,34.12
48217291,11.2441,10778969,37.28
258202568,11.1791,6101471,105.7
164456204,11.9967,10517078,30.5
164413981,12.1304,7871690,71.47
164413720,12.1068,7662589,53.98
164415796,12.0664,9071153,116.45
164413466,11.4911,7504619,233.42
164413936,10.554,7802549,31.72
164413912,10.7621,7802551,12.15
48217984,12.1721,11229253,45.54
48217636,11.5875,11014721,55.93
258203542,11.8564,5339687,26.4
48217105,11.6707,10647684,31.24
258202770,12.1562,5938404,51.55
164415748,11.7875,9071238,52.05
258349562,11.8079,5938430,58.96
164413365,11.6794,7421582,39.02
48217318,11.0662,10779177,232.29
258350177,11.3249,6421579,7.97
164460255,12.1589,7871897,30.92
258350297,11.3829,6500038,50.15
258348889,10.7783,5426041,50.67
164457095,11.4217,9994630,31.1
164460123,10.0595,7940675,101.85
164456911,11.1094,10122158,188.29
258348742,10.6881,5339823,41.44
258348611,11.0144,5252229,9.04
258348887,11.7925,5426077,62.33
164461076,10.9972,7259653,40.69
48217483,11.8883,10905043,40.77
164459972,8.8948,8009339,37.14
48304212,11.7656,11176222,93.4
164456749,11.6422,10256237,29.58
164460778,12.1933,7504841,27.88
258349090,11.5277,5597397,45.49
48304612,11.5047,10960798,62.19
164459944,10.4018,8009410,39.91
164459909,10.3218,8078554,35.66
164459681,11.7522,8214394,181.94
164460042,12.1668,8009448,41.37
164456728,12.2424,10256345,25.98
48304291,11.7605,11122858,36.52
164457019,11.8245,10057095,31.57
258348991,11.9453,5511566,27.92
164460025,12.1356,8009525,205.38
164459971,12.3124,8009533,32.5
164457060,10.0825,9994798,39.28
164457246,10.3025,9874730,30.64
164457233,11.998,9874731,151.61
164457077,11.7289,9994845,32.67
164458424,12.3666,9071489,29.5
164459979,9.8807,8009582,36.0
164456831,10.8912,10189920,24.96
164458530,10.9672,9002344,43.58
164524222,11.8769,10057222,50.89
237158526,11.3171,5768953,11.63
164524659,12.0073,10387495,71.57
237157867,10.9554,6343222,78.34
48304822,11.5032,10779537,209.96
164463200,11.7972,7340568,32.99
237159149,12.0521,5340189,188.06
164463754,11.1092,7734065,26.97
237158049,12.2053,6183311,34.3
164463232,12.1046,7340618,24.87
164522780,12.1497,9071650,50.9
164464324,10.1309,8146822,5.6
164463013,11.2339,7178170,85.69
164523818,11.2767,9814943,30.84
164464299,12.1705,8146840,52.42
237158914,8.5526,5511847,4.98
164463164,7.7931,7340724,129.02
237158707,10.6376,5683969,57.18
164522600,11.58,9002577,10.8
164462085,10.1393,6500623,14.8
237158507,8.85,5855086,35.85
164463171,10.6196,7340789,65.81
164463635,11.4271,7663228,31.78
164463669,10.612,7663241,22.76
237189627,11.0512,6264398,31.49
164524167,10.3017,10057435,30.69
164524820,11.822,10517832,28.95
164522204,10.9243,8671819,29.89
237189058,9.21817,5769244,139.28
164527545,10.8462,8934264,8.61
164529120,11.3721,7872519,33.98
164525837,9.9618,9995162,55.28
237188900,10.2961,5597965,55.73
237188265,9.9223,5077464,69.06
164527353,7.58786,9071940,36.52
237189812,11.1763,6343543,30.3
48305607,9.4883,11015261,54.45
237188544,11.0699,5340557,20.02
164527398,9.0841,9002777,6.22
164530027,11.583,7260306,33.88
164528960,11.7278,7941429,211.73
164527451,10.4833,9002805,68.55
164530668,9.6656,6755373,51.45
164526250,11.8412,9755001,202.52
164529557,11.4432,7587099,36.89
164525374,12.1779,10322513,92.47
164528997,11.2967,7941510,7.01
164525287,12.026,10387899,225.86
164527973,11.9604,8607365,85.5
237188543,12.2098,5340720,94.88
164528006,11.9251,8607372,202.47
164526993,11.4811,9264889,83.21
164525251,12.3085,10387935,26.6
164527813,11.561,8736415,7.44
237191214,11.5759,5512223,7.46
164525712,11.9578,10057670,49.88
48353220,10.8261,11015392,242.85
